word,frequency
very,144
little,128
out,113
down,101
one,101
up,98
know,85
herself,83
went,83
again,82
thought,74
queen,68
time,68
see,66
,61
king,61
well,60
dont,60
began,58
now,57
im,57
turtle,56
mock,56
hatter,55
quite,55
gryphon,55
think,53
way,52
much,51
go,50
first,49
thing,49
more,48
head,48
here,48
voice,47
come,45
looked,45
never,45
rabbit,43
round,41
such,41
came,40
tone,40
over,40
duchess,39
great,39
two,39
dormouse,39
oh,38
back,38
mouse,38
before,37
cat,35
nothing,34
ive,34
ill,33
march,33
large,33
last,33
thats,33
long,32
once,32
found,32
hare,31
put,31
right,31
tell,31
made,30
next,30
heard,30
white,30
looking,30
replied,29
door,29
moment,29
things,28
look,28
cant,28
going,27
seemed,27
caterpillar,27
poor,27
eyes,27
make,26
three,26
upon,26
soon,25
without,25
day,25
away,25
sure,24
course,24
same,24
wont,24
took,24
theres,24
good,24
felt,23
youre,23
added,23
getting,22
another,22
till,21
half,21
find,21
wish,21
take,21
words,21
minute,21
hand,20
cried,20
sort,20
curious,19
even,19
being,19
old,19
please,19
tried,19
feet,19
anything,19
eat,18
court,18
use,18
soup,18
house,18
table,18
wonder,18
something,18
end,18
jury,17
side,17
sat,17
question,17
talking,17
enough,17
asked,17
perhaps,17
high,16
under,16
turned,16
spoke,16
doesnt,16
indeed,16
bit,16
ran,16
hastily,16
cats,15
garden,15
gave,15
idea,15
called,15
done,15
near,15
knew,15
saying,15
through,14
ought,14
silence,14
face,14
change,14
talk,14
itself,14
trying,14
mad,14
set,14
both,14
seen,14
hear,14
saw,14
speak,14
didnt,14
low,14
air,14
certainly,14
remember,14
beautiful,14
better,14
suppose,14
anxiously,14
left,14
whole,13
room,13
dodo,13
dance,13
size,13
suddenly,13
really,13
begin,13
behind,13
beginning,13
far,13
wouldnt,13
sea,13
still,13
grow,13
people,13
gone,13
yes,13
cook,13
close,13
kept,13
theyre,13
hardly,12
alices,12
finished,12
used,12
afraid,12
turning,12
arm,12
game,12
hands,12
always,12
tea,12
baby,12
best,12
many,12
bill,12
give,12
deal,12
chapter,12
try,12
pigeon,12
majesty,12
ask,11
hurry,11
dinah,11
thinking,11
heads,11
wasnt,11
makes,11
read,11
nearly,11
minutes,11
glad,11
whether,11
though,11
life,11
waited,11
hurried,11
id,11
keep,11
tears,11
growing,11
turn,10
mouth,10
opened,10
youd,10
gloves,10
