word,frequency
the,1630
and,844
to,721
a,627
she,537
it,526
of,508
said,462
i,400
in,366
you,360
was,357
that,276
as,262
her,248
at,209
on,193
with,181
all,179
had,178
but,164
for,153
so,150
be,146
not,144
what,136
this,134
they,127
he,120
its,111
is,102
his,96
if,94
about,94
then,90
no,87
were,87
like,85
them,84
would,83
do,81
have,80
when,79
could,77
or,76
there,75
off,73
me,68
into,67
how,64
did,62
your,62
who,61
my,58
an,57
by,56
are,53
their,52
just,51
some,51
say,50
which,49
only,49
get,46
got,45
must,44
after,42
him,41
other,39
any,39
why,39
been,38
from,36
can,34
will,31
dear,29
we,29
might,28
should,27
too,26
shall,25
rather,25
while,24
than,24
yet,22
ever,21
however,20
let,17
because,15
am,15
us,14
these,14
may,13
where,13
every,12
among,12
else,10
own,10
either,10
does,9
least,8
our,8
most,8
has,7
almost,6
tis,5
likely,5
often,5
across,5
says,4
since,4
hers,3
nor,3
also,2
wants,2
neither,2
whom,1
cannot,1
able,1
